date,realised_pnl,realised_loss,delta_normal_var,delta_normal_es,delta_gamma_var,delta_gamma_es,full_revaluation_var,full_revaluation_es
2024-05-13,-1326.2075164370472,1326.2075164370472,3219.155407067794,3665.0086622209146,3202.1428229464536,3748.9105872174973,3087.203014434315,3465.338102357571
2024-05-14,-1032.7150662896165,1032.7150662896165,3150.5213727687164,3587.0750163973535,3029.447004351789,3357.360425219757,2830.1041796363334,3185.631100792715
2024-05-15,2176.0188996291545,-2176.0188996291545,3068.8243607055656,3493.999475465941,2980.0936564479384,3423.87543393387,2928.9295062058636,3296.148805845312
2024-05-16,-1248.2868468175438,1248.2868468175438,3174.7399562514215,3614.298561940903,2996.457139590762,3395.78906331157,2912.385016630205,3230.3299200569645
2024-05-17,454.2591468623723,-454.2591468623723,3112.93542313449,3544.132844083508,2887.7458201447903,3214.480227273944,2764.632441381908,3059.6422158404703
2024-05-20,-249.9990250493429,249.9990250493429,3156.8277540184413,3594.032987044948,3190.988476540941,3815.7952552238153,3025.698840402311,3645.292841240139
2024-05-21,-1915.4041637470073,1915.4041637470073,3136.6325709820976,3570.997066832997,3043.088254044414,3494.3182838019375,2879.39336508964,3344.1314426410463
2024-05-22,3.1704527354231686,-3.1704527354231686,3028.329810556081,3447.954199684699,2798.3832440964024,3236.6283174483583,2725.6328273241975,3072.580859773776
2024-05-23,-1130.1136743374227,1130.1136743374227,3034.7325035495487,3455.2072619233268,2754.2441284969736,3409.3944719659935,2638.836242272563,3213.1825822149235
2024-05-24,-913.1380333962588,913.1380333962588,2984.248456168273,3397.907559558533,2900.5387711721655,3407.8053971612,2778.710126960556,3210.6875184660953
2024-05-27,-137.1733452513945,137.1733452513945,2944.072531449207,3352.2972427556447,2727.964784193522,3085.299792046865,2647.4434367231775,2954.3097754906644
2024-05-28,1710.7722735166608,-1710.7722735166608,2918.872473347128,3323.4256673549953,2927.630181539979,3201.849260376826,2733.1792349834254,3056.998868206082
2024-05-29,-939.9348503582951,939.9348503582951,3024.2345280497348,3443.152348103193,2852.4039995342864,3229.7979005185853,2698.990507710715,3060.2259227045115
2024-05-30,1878.6376346293036,-1878.6376346293036,2984.7530064804505,3398.3472031731153,2933.380851362355,3248.804944192387,2740.718452965614,3058.653722284081
2024-05-31,1418.8991969437047,-1418.8991969437047,3098.179204650064,3527.246731499231,2903.480614391959,3326.880413867485,2799.117953440937,3163.528133932976
2024-06-03,-1380.7270376606466,1380.7270376606466,3166.3309075964403,3604.5731464423466,3137.2883050781984,3506.3273839342787,2928.201181475342,3319.7242901482837
2024-06-04,-530.1529539503608,530.1529539503608,3108.4799863337403,3538.9052382319687,3023.9036850764423,3430.635464234626,2853.7933795014833,3219.6410976311704
2024-06-05,-1118.4092454006095,1118.4092454006095,3100.040028461085,3529.391397262336,3017.971492062462,3307.1120990615127,2796.827971326468,3134.636214458304
2024-06-06,494.20717034437985,-494.20717034437985,3031.3839513222447,3451.29478955953,2833.199141663939,3312.5662912069465,2683.9325130437323,3117.0978902836805
2024-06-07,-730.5010349535951,730.5010349535951,3073.436469191782,3499.0987867907593,2832.848032820986,3286.4605886634577,2674.9631781855865,3044.488701086778
2024-06-10,-2050.5454158013818,2050.5454158013818,3037.9339257573592,3458.711344701969,2936.5978912467444,3371.474720659643,2789.819346499492,3210.1503353719345
2024-06-11,-2657.1674861761785,2657.1674861761785,2941.0822249088446,3348.8368959601344,2936.182834150205,3318.309859062515,2730.02427129521,3164.324635854917
2024-06-12,508.78932402225473,-508.78932402225473,2829.7557343486606,3222.631059749352,2654.0393869462023,3103.9039543751223,2581.1499090371294,2972.2266136436074
2024-06-13,990.5268635301036,-990.5268635301036,2864.3519431014756,3261.9345749633912,2739.071115848505,3100.794099054442,2580.740629879578,2904.446778162273
2024-06-14,-428.35756247935205,428.35756247935205,2908.5787708051807,3312.034371346348,2737.5049200391904,3044.7386783933257,2627.1767550553886,2883.922508546585
2024-06-17,-1202.2463554209608,1202.2463554209608,2877.527290280571,3276.6654489965013,2819.9229276697697,3242.4175113089036,2746.1403278822954,3141.7933633488205
2024-06-18,256.651656235721,-256.651656235721,2814.958542491608,3205.5539530411475,2677.0402457969117,3110.585045053408,2580.5196256010877,2984.16443989893
2024-06-19,1591.7343791218736,-1591.7343791218736,2831.2191998831777,3223.9744214707143,2746.28927223006,3201.96684002539,2657.299359607924,3027.9038229706734
2024-06-20,1337.110484078199,-1337.110484078199,2921.8483583789384,3326.904984587604,2919.976506542463,3429.623231138102,2757.8573378877936,3241.568514060619
2024-06-21,-1715.5543265800006,1715.5543265800006,3002.0466205655493,3418.0127933163612,2900.110270329238,3335.069343321696,2755.846664473398,3194.7487639574983
2024-06-24,30.0914870296765,-30.0914870296765,2928.1463280985145,3334.1997785734325,2731.4352596393605,3122.310818920214,2612.0622372058783,2996.054784050777
2024-06-25,1643.3253038942494,-1643.3253038942494,2949.887085069834,3359.0186366874464,2817.867178259313,3196.412069128255,2651.842652367741,2953.203641755439
2024-06-26,222.31420407963742,-222.31420407963742,3042.2592477631556,3463.9480783527156,2958.539643396241,3434.604755767832,2792.4335918198844,3209.0091717069045
2024-06-27,13.982187200163025,-13.982187200163025,3063.5209044365342,3488.1089762238785,2881.6085400100237,3456.52052712123,2758.1633502336745,3288.2337808420866
2024-06-28,-261.4378810678536,261.4378810678536,3043.383714424571,3464.99859642202,2806.4760972723348,3208.316142888771,2757.6382935790843,3080.897331206982
2024-07-01,-1948.6379550398633,1948.6379550398633,3019.9212231938754,3438.257071941574,3078.536436895483,3491.107268032714,2840.47699475178,3328.497657902967
2024-07-02,-1071.0289961062372,1071.0289961062372,2911.7159204478444,3315.3766811411488,2815.869155010297,3268.898814451247,2605.759315377892,3098.2395530352346
2024-07-03,-1431.012850852152,1431.012850852152,2867.8632801159206,3265.6315977701465,2567.567656578835,2903.27849294291,2490.6770317952405,2754.860335618856
2024-07-04,404.3397464430891,-404.3397464430891,2802.332113308419,3191.5181108004253,2626.3609934558676,2934.3552429956517,2528.3510009514316,2827.1935500744908
2024-07-05,114.47266849196603,-114.47266849196603,2822.7918603344424,3214.696402747892,2747.235475125246,3157.3318801951245,2590.3482469896426,2985.3366532295477
