date,actual_pnl_eur,historical_var_eur,parametric_var_eur,historical_exception,parametric_exception
2025-01-29,-2615.7879376804913,10670.1783620785,9775.370968029905,False,False
2025-01-30,4665.46834043311,10670.1783620785,9779.704591475807,False,False
2025-01-31,-3540.163536288071,10670.1783620785,9798.076052784216,False,False
2025-02-03,-1314.6980212549788,10670.1783620785,9711.044023361663,False,False
2025-02-04,5626.32376211104,10670.1783620785,9692.146748156965,False,False
2025-02-05,7777.720359620498,10670.1783620785,9613.420786043343,False,False
2025-02-06,878.7601826756918,10670.1783620785,9662.362649444456,False,False
2025-02-07,-4248.169095104803,10670.1783620785,9662.361755024434,False,False
2025-02-10,1904.0839969415858,10670.1783620785,9682.848129055368,False,False
2025-02-11,-2474.714731159672,10670.1783620785,9685.408434163845,False,False
2025-02-12,-3487.904503130174,10670.1783620785,9694.57291618265,False,False
2025-02-13,9627.249903907254,10350.621838958295,9561.561831566873,False,False
2025-02-14,688.1893435260854,10350.621838958295,9652.289839085879,False,False
2025-02-18,137.6791570157684,10350.621838958295,9631.665628889932,False,False
2025-02-19,340.0367826807082,10350.621838958295,9626.864994350197,False,False
2025-02-20,-363.253976290523,10350.621838958295,9626.450162351937,False,False
2025-02-21,737.8084773802198,10350.621838958295,9624.15833480274,False,False
2025-02-24,57.051615893449934,10350.621838958295,9577.746883450787,False,False
2025-02-25,1695.2623325753927,10350.621838958295,9552.460264177615,False,False
2025-02-26,3326.838021739897,10350.621838958295,9546.37885619331,False,False
2025-02-27,-9068.224490138238,10350.621838958295,9552.880468126388,False,False
2025-02-28,4855.374494949571,10350.621838958295,9652.458471958285,False,False
2025-03-03,-642.4664784031474,10350.621838958295,9662.74038473098,False,False
2025-03-04,-3981.837651956338,10350.621838958295,9622.601400637208,False,False
2025-03-05,3311.5796670234563,10350.621838958295,9641.855000060676,False,False
2025-03-06,-3031.4807911716084,10350.621838958295,9644.380012590662,False,False
2025-03-07,387.704819879975,10350.621838958295,9639.491821391977,False,False
2025-03-10,-3496.0021974215597,10350.621838958295,9625.2663773026,False,False
2025-03-11,-2851.0501305588914,10350.621838958295,9641.41014897738,False,False
2025-03-12,1566.1594963635725,10350.621838958295,9652.142471874058,False,False
2025-03-13,1456.6483686984266,10350.621838958295,9649.7312715772,False,False
2025-03-14,3072.9869473104072,10350.621838958295,9649.778705333505,False,False
2025-03-17,4709.286077164765,10350.621838958295,9623.857108123075,False,False
2025-03-18,43.27867630085643,10350.621838958295,9627.778323865045,False,False
2025-03-19,5265.255985545104,10350.621838958295,9627.663141407627,False,False
2025-03-20,-1221.7810922980298,10350.621838958295,9652.088284527694,False,False
2025-03-21,-3912.4593855839885,10350.621838958295,9641.52742950342,False,False
2025-03-24,347.54124854252177,10350.621838958295,9655.69898634587,False,False
2025-03-25,633.3843084984081,10350.621838958295,9655.415452061536,False,False
2025-03-26,-5378.097264105219,10350.621838958295,9645.015151829615,False,False
2025-03-27,-370.05978525666023,10350.621838958295,9680.244465979298,False,False
2025-03-28,1324.9293684625238,10350.621838958295,9643.497945382836,False,False
2025-03-31,7219.026491524294,10350.621838958295,9643.59320803575,False,False
2025-04-01,2915.9824737735375,10350.621838958295,9667.00447507899,False,False
2025-04-02,1269.9472615389727,10350.621838958295,9667.958212253603,False,False
2025-04-03,-9759.991351279297,10350.621838958295,9665.437643132584,False,True
2025-04-04,-12402.351748349294,10350.621838958295,9778.594498521323,True,True
2025-04-07,-13787.09360290103,10670.1783620785,9955.425244086891,True,True
2025-04-08,-10022.28997409097,11614.283432188784,10167.172393302131,False,False
2025-04-09,34761.71811837946,11614.283432188784,10257.696758616337,False,False
2025-04-10,-16078.662145569262,11614.283432188784,11340.508447846894,True,True
2025-04-11,14539.148794322733,13108.570094170676,11593.522554563646,False,False
2025-04-14,5225.557730968894,13108.570094170676,11764.334336632957,False,False
2025-04-15,1086.12508168644,13108.570094170676,11743.916429295561,False,False
2025-04-16,169.14627363147065,13108.570094170676,11735.495462952964,False,False
2025-04-17,-1107.7127842627042,13108.570094170676,11735.471977874964,False,False
2025-04-22,1280.7271330128824,13108.570094170676,11736.619203545306,False,False
2025-04-23,385.0002242639712,13108.570094170676,11735.274494755888,False,False
2025-04-24,10185.181045099358,13108.570094170676,11731.400849956426,False,False
2025-04-25,3176.8252870217834,13108.570094170676,11814.943086697995,False,False
2025-04-28,3615.7697866075587,13108.570094170676,11818.044713396368,False,False
2025-04-29,3793.0363107495427,13108.570094170676,11820.41375078662,False,False
2025-04-30,-3799.512964228813,13108.570094170676,11811.853379541146,False,False
2025-05-01,-3995.4938873492943,13108.570094170676,11824.043757022844,False,False
2025-05-02,224.45994179623995,13108.570094170676,11753.678719433286,False,False
2025-05-05,1844.2761193672495,13108.570094170676,11751.982883483724,False,False
2025-05-06,2937.0264291325057,13108.570094170676,11740.847642213497,False,False
2025-05-07,590.0712591981605,13108.570094170676,11715.608029766003,False,False
2025-05-08,-5201.330195904324,13108.570094170676,11688.897006894085,False,False
2025-05-09,-231.82686834207766,13108.570094170676,11716.789197891603,False,False
2025-05-12,1338.2823546365107,13108.570094170676,11709.09201401715,False,False
2025-05-13,-1315.4861270912365,13108.570094170676,11688.424435427798,False,False
2025-05-14,-3205.1601478820803,13108.570094170676,11691.073406132477,False,False
2025-05-15,6187.947533997196,13108.570094170676,11700.805846619127,False,False
2025-05-16,764.6942994018191,13108.570094170676,11716.076521475812,False,False
